,equity
2017-02-28,2.318594416487315
2017-03-31,2.3198407092515376
2017-04-30,2.341802427302201
2017-05-31,2.42665034935765
2017-06-30,2.433305526103505
2017-07-31,2.5181036406422876
2017-08-31,2.5935413873752187
2017-09-30,2.6529553594475166
2017-10-31,2.7899533427726992
2017-11-30,2.837734634479269
2017-12-31,2.8652726313220973
2018-01-31,3.1019098278988264
2018-02-28,3.0112426034365325
2018-03-31,2.9431034409672123
2018-04-30,2.8899777785388325
2018-05-31,3.0226034891633513
2018-06-30,3.029132915716253
2018-07-31,3.032118899615711
2018-08-31,3.1659669351932873
2018-09-30,3.155340689618616
2018-10-31,2.8474661343396885
2018-11-30,2.841809026335595
2018-12-31,2.5995366272875953
2019-01-31,2.803402869487268
2019-02-28,2.8129376161605086
2019-03-31,2.890035594230535
2019-04-30,2.9430245503372783
2019-05-31,2.782063713233605
2019-06-30,2.947593478630443
2019-07-31,2.955807311714206
2019-08-31,3.068637132355875
2019-09-30,3.027404767163698
2019-10-31,3.0675980280664548
2019-11-30,3.0396220914417587
2019-12-31,3.1592849804026852
2020-01-31,3.1566080898405837
2020-02-29,2.9199495429081592
2020-03-31,2.709425543260233
2020-04-30,3.078388171558589
2020-05-31,3.134691808097526
2020-06-30,3.289637934738861
2020-07-31,3.6594944727435346
2020-08-31,3.843307142170974
2020-09-30,3.6537175800628976
2020-10-31,3.6120123944333455
2020-11-30,3.9016839878187537
2020-12-31,4.159380843262368
2021-01-31,4.274475694708169
2021-02-28,4.3494187167391924
2021-03-31,4.300004664709452
2021-04-30,4.368899866762945
2021-05-31,4.473788070396071
2021-06-30,4.5931923140474495
2021-07-31,4.552112249682717
2021-08-31,4.576061364737043
2021-09-30,4.610009525675723
2021-10-31,4.905808667309167
2021-11-30,4.754740861731986
2021-12-31,5.051972445088437
2022-01-31,5.065905193374688
2022-02-28,5.1165118312478635
2022-03-31,5.456285958193685
2022-04-30,5.262933492032239
2022-05-31,5.373727120994732
2022-06-30,5.010328720460869
2022-07-31,5.1528213047011695
2022-08-31,5.039411676866643
2022-09-30,4.6725539773120275
2022-10-31,5.121892392554934
2022-11-30,5.301573967592477
2022-12-31,5.168780013526521
2023-01-31,5.203717493062033
2023-02-28,4.925955468127456
2023-03-31,4.941670854012175
2023-04-30,5.012745112144715
2023-05-31,5.052670424735166
2023-06-30,5.2097953929073775
2023-07-31,5.442206413946525
2023-08-31,5.257939516931084
2023-09-30,4.940831920223227
2023-10-31,4.798459108868225
2023-11-30,5.286938343639659
2023-12-31,5.532141177177372
2024-01-31,5.555103421816562
2024-02-29,5.96994904774484
2024-03-31,6.139851988077758
2024-04-30,5.8242593702149845
2024-05-31,6.145080494473879
2024-06-30,6.3453223751353995
2024-07-31,6.29471930214369
2024-08-31,6.370588360136248
2024-09-30,6.506463467037674
2024-10-31,6.497960741569285
2024-11-30,6.737461753376137
2024-12-31,6.449938224884517
2025-01-31,6.737103126117692
2025-02-28,6.6372239120274354
2025-03-31,6.647746148794641
2025-04-30,6.761727807657445
2025-05-31,7.0288976265068746
2025-06-30,7.402921261836678
2025-07-31,7.548519347126872
2025-08-31,7.88230884204251
2025-09-30,8.646110582911689
2025-10-31,8.544617660741727
2025-11-30,8.57553309399087
2025-12-31,8.887825810865436
2026-01-31,9.610924183332695
2026-02-28,10.080744055180931
2026-03-31,9.04300518728071
2026-04-30,10.134553464821463
2026-05-31,10.475478922201555
2026-06-30,9.88903517328871
2026-07-31,9.700399672444785
2026-08-31,10.37192951976728
