date,open,high,low,close,close_raw,volume
1997-06-12,32.125,33.0,30.875,23.48772048950196,31.5,19963800.0
1997-06-13,31.75,32.875,31.75,24.14015388488769,32.375,3661100.0
1997-06-16,32.25,32.5,30.625,23.021684646606445,30.875,2481700.0
1997-06-17,30.125,30.25,29.125,22.182844161987305,29.75,2283800.0
1997-06-18,29.75,29.75,28.125,21.157590866088867,28.375,1749900.0
1997-06-19,28.5,29.625,28.25,21.90323066711425,29.375,1269900.0
1997-06-20,29.5,30.25,29.375,21.99644088745117,29.5,859100.0
1997-06-23,29.875,29.875,28.125,21.06437492370605,28.25,725000.0
1997-06-24,28.5,29.625,27.125,21.53040885925293,28.875,1212100.0
1997-06-25,29.125,29.125,28.125,21.39059829711914,28.6875,726600.0
1997-06-26,28.125,28.5,27.625,21.06437492370605,28.25,534500.0
1997-06-27,28.125,28.375,27.1875,20.31873321533203,27.25,441500.0
1997-06-30,27.125,27.625,26.25,20.41194725036621,27.375,796900.0
1997-07-01,27.25,27.3125,26.5,20.08572769165039,26.9375,621300.0
1997-07-02,26.9375,27.9375,26.625,20.738168716430664,27.8125,818700.0
1997-07-03,27.5625,28.1875,26.75,20.92457389831543,28.0625,696800.0
1997-07-07,28.5,28.625,27.0,20.22553443908692,27.125,1180500.0
1997-07-08,27.25,27.6875,27.125,20.64495849609375,27.6875,595000.0
1997-07-09,27.6875,27.6875,26.375,19.85270881652832,26.625,958000.0
1997-07-10,26.25,26.3125,25.125,19.01387023925781,25.5,1069200.0
1997-07-11,25.625,26.125,25.375,19.34008026123047,25.9375,674600.0
1997-07-14,26.1875,26.25,25.4375,19.15366554260254,25.6875,471200.0
1997-07-15,25.3125,25.5625,25.0,18.96726417541504,25.4375,513000.0
1997-07-16,25.5625,25.5625,23.75,17.755596160888672,23.8125,899600.0
1997-07-17,24.0,26.25,23.9375,19.433290481567383,26.0625,1286200.0
1997-07-18,26.125,26.5,25.3125,19.29348564147949,25.875,346200.0
1997-07-21,25.8125,25.8125,25.0,18.87406349182129,25.3125,216600.0
1997-07-22,25.125,25.875,25.125,19.107074737548828,25.625,351200.0
1997-07-23,25.625,26.125,25.0,18.64105033874512,25.0,507100.0
1997-07-24,25.0,25.75,24.25,18.36142921447754,24.625,412800.0
1997-07-25,24.875,25.0,24.1875,18.36142921447754,24.625,253000.0
1997-07-28,24.875,25.4375,24.375,18.827451705932617,25.25,953700.0
1997-07-29,25.5,26.6875,25.5,19.89931869506836,26.6875,1028100.0
1997-07-30,26.8125,27.9375,26.6875,20.691558837890625,27.75,801700.0
1997-07-31,27.875,28.0,26.6875,19.992525100708008,26.8125,458400.0
1997-08-01,26.3125,27.0,26.25,19.85270881652832,26.625,250100.0
1997-08-04,26.375,27.875,26.25,20.598352432250977,27.625,629700.0
1997-08-05,28.125,28.4375,26.5,20.17894172668457,27.0625,1157400.0
1997-08-06,27.0625,27.125,26.25,19.759506225585938,26.5,350500.0
1997-08-07,26.5,26.6875,25.75,19.200273513793945,25.75,456200.0
1997-08-08,25.5,25.6875,24.75,18.827451705932617,25.25,576100.0
1997-08-11,25.375,25.375,24.5,18.45464134216309,24.75,370400.0
1997-08-12,25.0,25.4375,24.3125,18.12841415405273,24.3125,910300.0
1997-08-13,24.5,25.1875,23.8125,18.175024032592773,24.375,416500.0
1997-08-14,24.625,24.75,23.9375,17.89540672302246,24.0,309000.0
